title,published_at,duration,view_count,like_count,comment_count,year
#shorts The Best,17-05-2021,PT60S,265538660,6532586,24063.00,2021
Happy friendship day guys❤️….#shorts #rajgrover #friendshipday #friend,01-08-2021,PT28S,81334471,3100535,2154.00,2021
CUANTOS EMOJIS HAY,13-08-2021,PT10S,172372062,5077078,0.00,2021
Banda🥵✋ aquí no era el baño wE #freefire #freefireelvenao #freefirelatam #shorts,23-08-2021,PT29S,22930446,1357539,15676.00,2021
I HAVE BANGS… #Shorts,30-08-2021,PT23S,555825641,16003237,0.00,2021
Самые забавные школьные ответы #Shorts,03-09-2021,PT17S,13026666,579808,1466.00,2021
HAZ MOCO DE HELADO KAWAII #Shorts,12-09-2021,PT59S,4186296,276510,0.00,2021
#just for fun 🤦🤪😱#nani vijayawada abbayi#shorts,14-09-2021,PT13S,29821502,788228,2500.00,2021
heart touching video❤️ #shorts,17-09-2021,PT60S,40427828,2962016,5118.00,2021
Sagawa1gou funny video 😂😂😂 | SAGAWA Best TikTok 2021 #shorts,21-09-2021,PT27S,220588235,4469857,12331.00,2021
funny shorts video for you | Try NOT to Laugh😜,11-10-2021,PT59S,184936097,4801370,970.00,2021
Wer klingt am besten? 😂🎤 #916house #916shorts #shorts,18-10-2021,PT39S,3176560,119653,6868.00,2021
The traitor 😭 #shorts by Tsuriki Show,30-10-2021,PT45S,71072301,1597321,2000.00,2021
जब भाई को पता चला बहन का सच ...😢😢 #Shorts #TKFShorts #TKF,05-11-2021,PT60S,43163603,2734729,3425.00,2021
Ab  chikky ki kya galti thi isme:( #rjkarishma #shorts #trend,09-11-2021,PT60S,57758722,3497712,4578.00,2021
WHEN UR SPANISH IS REALLY BAD 💀💀 #shorts #liveaquaurbanresortmonterrey,17-11-2021,PT46S,53190142,2638987,4409.00,2021
"nyobain Rope Launcher, tapi kok punya gw kayaknya KW ya ? 😭 #shorts",18-11-2021,PT36S,37290347,799847,1531.00,2021
"nyobain Rope Launcher, tapi kok punya gw kayaknya KW ya ? 😭 #shorts",18-11-2021,PT36S,37290347,799847,1531.00,2021
3 LUGARES MAIS TERRÍVEIS PARA NADAR! #Shorts,20-11-2021,PT54S,5808632,558894,763.00,2021
What really happened?? #Shorts,21-11-2021,PT60S,12492092,453718,2089.00,2021
I WANT SUMO DORITOS 😂 #shorts #funny #viral,28-11-2021,PT25S,274240958,3701376,0.00,2021
WHEN YOU GET ROBUX FOR THE FIRST TIME #shorts @OKEHGamingTV,28-11-2021,PT48S,55841071,2214650,15062.00,2021
Winderson Nunes Challenge | #shorts #25centavos #25centavoschallenge #whinderssonnunes,04-12-2021,PT38S,20298660,1273774,0.00,2021
Badi Behan vs Choti Behan Part - 3 | बड़ी vs छोटी बहन | #Shorts #TKFShorts #trending,07-12-2021,PT60S,53002775,2762193,671.00,2021
कामवाली बाई और New Year | Part 6 #Shorts #TKFShorts #TKF,30-12-2021,PT60S,121388034,6547352,4983.00,2021
HE'S WORKING LATE 🧐,02-01-2022,PT60S,104666233,5146552,38101.00,2022
Is new year dusro ko khushiyaan Baato ❤️ | Gulshan kalra #shorts #happynewyear,06-01-2022,PT60S,37157086,2332298,0.00,2022
Is new year dusro ko khushiyaan Baato ❤️ | Gulshan kalra #shorts #happynewyear,06-01-2022,PT60S,37157086,2332298,0.00,2022
CƯỚP CÔNG NUÔI DƯỠNG #Shorts,07-01-2022,PT60S,30751661,1009811,3140.00,2022
वक़्त बदल गया जज़्बात बदल गए! 😂 Every Relationship Ever! #relationship #Shorts #TKFShorts,09-01-2022,PT42S,14896473,672684,635.00,2022
gold ذهب #shorts,11-01-2022,PT10S,128484060,978090,880.00,2022
Salute to Indian army 😭❤️|| Gulshan kalra #happyrepublicday2022 #shorts,18-01-2022,PT60S,80582274,4987067,5249.00,2022
When he see’s the photo!😮😱 #Shorts,27-01-2022,PT60S,183562016,3863086,12509.00,2022
Doctor gets busted!😱 #Shorts,30-01-2022,PT60S,295572815,2386823,3213.00,2022
YOUNGER SIBLINGS ALWAYS GET THEIR WAY😭🤦🏽‍♂️😂 #shorts #viral,02-02-2022,PT31S,36468463,1539181,10824.00,2022
